wall_time_iso,step,left_ft_joint,right_ft_joint
2026-02-26T14:50:08.724,51,"[-8.757564544677734, 9.476619720458984, -45.33262252807617, 0.04138321802020073, 0.1253250241279602, -0.00673665152862668]","[-0.02252107672393322, 0.18810854852199554, 0.295014888048172, 0.0027975314296782017, -0.00048462956328876317, 6.342705455608666e-05]"
2026-02-26T14:50:08.761,52,"[-0.1279054433107376, 10.282773971557617, -45.193458557128906, 0.08132907003164291, -0.2724549472332001, 0.014687512069940567]","[-0.013621138408780098, 0.12358168512582779, 0.19331295788288116, 0.0018321039387956262, -0.00031524329097010195, 2.0526666048681363e-05]"
2026-02-26T14:50:08.799,53,"[-0.02280677855014801, 10.346851348876953, -45.36996841430664, 0.08118905127048492, -0.27406659722328186, 0.015446268953382969]","[-0.012803636491298676, 0.12813013792037964, 0.20051132142543793, 0.0019007041119039059, -0.0003245609987061471, 3.272339017712511e-05]"
2026-02-26T14:50:08.835,54,"[5.2469401359558105, 12.283771514892578, -44.46234130859375, 0.05929086357355118, -0.25452473759651184, 0.052658699452877045]","[-0.11041022837162018, 0.7352495193481445, 1.2068389654159546, 0.011346129700541496, -0.00232978374697268, 0.0012048856588080525]"
2026-02-26T14:50:08.871,55,"[2.2403111457824707, 9.898029327392578, -46.19802474975586, 0.07020701467990875, -0.2861585319042206, 0.012115520425140858]","[0.0011348359985277057, 0.00848477054387331, -0.0012133694253861904, -2.435123633404146e-06, 4.3389522375036904e-07, 9.470006261835806e-06]"
2026-02-26T14:50:08.906,56,"[1.0297998189926147, 10.435006141662598, -45.298126220703125, 0.07257360219955444, -0.2784965932369232, 0.0143412034958601]","[-0.0037668903823941946, 0.05181280896067619, 0.08245104551315308, 0.000774300831835717, -0.00015720856026746333, 5.0346541684120893e-05]"
2026-02-26T14:50:08.942,57,"[0.9792196750640869, 10.575024604797363, -45.49564743041992, 0.07231852412223816, -0.2799566686153412, 0.013695616275072098]","[0.00107476650737226, 0.06315015256404877, 0.10032982379198074, 0.0009423012961633503, -0.0001896619505714625, 6.0319773183437064e-05]"
2026-02-26T14:50:08.977,58,"[0.9086199402809143, 10.608820915222168, -45.581905364990234, 0.072161465883255, -0.2806955873966217, 0.012681864202022552]","[0.004207380581647158, 0.06628863513469696, 0.10555324703454971, 0.000991207198239863, -0.0001988390868064016, 5.58613937755581e-05]"
2026-02-26T14:50:09.013,59,"[0.8188230395317078, 10.634756088256836, -45.61710739135742, 0.07206908613443375, -0.2810904383659363, 0.012035704217851162]","[0.006268353667110205, 0.06702438741922379, 0.10703089833259583, 0.0010047636460512877, -0.00020130544726271182, 4.829113822779618e-05]"
2026-02-26T14:50:09.048,60,"[0.7535743713378906, 10.656878471374512, -45.648311614990234, 0.07194245606660843, -0.2814657986164093, 0.011684749275445938]","[0.008113994263112545, 0.06750509887933731, 0.10806421935558319, 0.001014340203255415, -0.0002031802578130737, 4.0243150579044595e-05]"
2026-02-26T14:50:09.084,61,"[0.7121910452842712, 10.667845726013184, -45.67811965942383, 0.07177562266588211, -0.281825453042984, 0.011548095382750034]","[0.009515550918877125, 0.06602087616920471, 0.10599640011787415, 0.000994859728962183, -0.00019944323867093772, 2.944262814708054e-05]"
2026-02-26T14:50:09.119,62,"[0.6882496476173401, 10.665738105773926, -45.70606994628906, 0.07157108187675476, -0.28217607736587524, 0.011602941900491714]","[0.009797364473342896, 0.06384441256523132, 0.1025799885392189, 0.0009628483676351607, -0.00019356442498974502, 1.778656769602094e-05]"
2026-02-26T14:50:09.154,63,"[0.6760274767875671, 10.653335571289062, -45.730804443359375, 0.07134795188903809, -0.2825011909008026, 0.011754017323255539]","[0.010019026696681976, 0.061458371579647064, 0.09883768856525421, 0.0009278456564061344, -0.00018711359007284045, 8.941595297073945e-06]"
2026-02-26T14:50:09.191,64,"[0.667611300945282, 10.637845993041992, -45.750736236572266, 0.07112010568380356, -0.28279632329940796, 0.011959576979279518]","[0.009975863620638847, 0.05879806727170944, 0.09460853785276413, 0.0008882999536581337, -0.00017976573144551367, 4.216145953250816e-06]"
2026-02-26T14:50:09.229,65,"[0.661862850189209, 10.622929573059082, -45.76903533935547, 0.07089421898126602, -0.2830740809440613, 0.012240695767104626]","[0.010110193863511086, 0.05670333281159401, 0.09132841229438782, 0.0008576589170843363, -0.00017412114539183676, 4.257109139871318e-06]"
2026-02-26T14:50:09.265,66,"[0.6581365466117859, 10.611504554748535, -45.78697204589844, 0.07067492604255676, -0.28333786129951477, 0.01259266585111618]","[0.010379473678767681, 0.054576750844717026, 0.0880650207400322, 0.0008271855185739696, -0.0001683780283201486, 8.109644113574177e-06]"
